index,amount,tx_id,src,dst
0,280113718,106066808,stake1z96tmfcw8wjwf6mygq9gqt9htpqj4uz856yse4hdg53rqwgjrlv,stake1z96tmfcw8wjwf6mygq9gqt9htpqj4uz856yse4hdg53rqwgjrlv
1,22265944,109537649,stake1w2sas4q24c0yvgpndajsenq3raljv892d465nsntckv2yknvl67,stake15ew2tzjwn364l2pszu7j5h9w63v2crrnl97m074w9elrk57mwc8
2,1150770,109537649,stake1w2sas4q24c0yvgpndajsenq3raljv892d465nsntckv2yknvl67,stake1w2sas4q24c0yvgpndajsenq3raljv892d465nsntckv2yknvl67
3,13884036547,109537649,stake1w2sas4q24c0yvgpndajsenq3raljv892d465nsntckv2yknvl67,stake1w2sas4q24c0yvgpndajsenq3raljv892d465nsntckv2yknvl67
4,1232660,109878818,stake1nr8lu5hyslu2t2j08mvu93sdtrjp66e8lhaat4r4nacek8wcejx,stake12a8fzqzsnx3er32jcsdmapr732998gpdx832z6d03cvnym78r3r
5,50801581,109878818,stake1nr8lu5hyslu2t2j08mvu93sdtrjp66e8lhaat4r4nacek8wcejx,stake1nr8lu5hyslu2t2j08mvu93sdtrjp66e8lhaat4r4nacek8wcejx
6,1379280,103705810,stake15h92xjnmwvn7k52zakkm2u6s8avltmqhawnxlqg7s0l56xsca58,stake15h92xjnmwvn7k52zakkm2u6s8avltmqhawnxlqg7s0l56xsca58
7,1344798,104998886,stake17mmrl5n4ks8suj0q5r26dqxsjndm0nlcfctvgx5l7dnduhfhl7k,stake1f75jshps9w2h4upn8vg232w82t7x99ejkz64jtfurj3mxp9mnat
8,103120160,104998886,stake17mmrl5n4ks8suj0q5r26dqxsjndm0nlcfctvgx5l7dnduhfhl7k,stake17mmrl5n4ks8suj0q5r26dqxsjndm0nlcfctvgx5l7dnduhfhl7k
9,2824075,104998886,stake17mmrl5n4ks8suj0q5r26dqxsjndm0nlcfctvgx5l7dnduhfhl7k,stake17mmrl5n4ks8suj0q5r26dqxsjndm0nlcfctvgx5l7dnduhfhl7k
10,1193870,107626900,stake1u256rdampf3vvjw9hz2kr8t4rwmg2vnzuhpzg99aru6sczvs6fh,stake156q8n3tpv8lxpaeqqc7dhca0vzzh3ps4u87g7zwmsdxccmegzjg
11,1405060,107626900,stake1u256rdampf3vvjw9hz2kr8t4rwmg2vnzuhpzg99aru6sczvs6fh,stake1u256rdampf3vvjw9hz2kr8t4rwmg2vnzuhpzg99aru6sczvs6fh
12,4651861,107626900,stake1u256rdampf3vvjw9hz2kr8t4rwmg2vnzuhpzg99aru6sczvs6fh,stake1u256rdampf3vvjw9hz2kr8t4rwmg2vnzuhpzg99aru6sczvs6fh
13,3500000,108218994,stake1jer03kr7eyz4y7ynaucjg4yuga20cvx6j48qhhy4kkuc769lyae,stake1h0vkjfjzjuk4u553ruc0ent3rgyxk8ca7ls374llwh30vuyv943
14,5004000000,108218994,stake1jer03kr7eyz4y7ynaucjg4yuga20cvx6j48qhhy4kkuc769lyae,stake15ew2tzjwn364l2pszu7j5h9w63v2crrnl97m074w9elrk57mwc8
15,5338876499,108218994,stake1jer03kr7eyz4y7ynaucjg4yuga20cvx6j48qhhy4kkuc769lyae,stake1jer03kr7eyz4y7ynaucjg4yuga20cvx6j48qhhy4kkuc769lyae
16,3275155849,108934121,stake1reu24e7fpnpk6cj00vamdkrt2f5kmjzwfy8ng0463yq97e3s267,stake1reu24e7fpnpk6cj00vamdkrt2f5kmjzwfy8ng0463yq97e3s267
17,6300000,111931742,stake19a7v8cwrm8m9skh439ak7ummday37jeq5gpdv9uf83v8u7ufqag,stake1hsn4w5lss7kz3jm7fcctnqd2rgu5kwn6rp7j2sjj5pln6lz4fyw
18,969750,111931742,stake19a7v8cwrm8m9skh439ak7ummday37jeq5gpdv9uf83v8u7ufqag,stake1reu24e7fpnpk6cj00vamdkrt2f5kmjzwfy8ng0463yq97e3s267
19,34734000,111931742,stake19a7v8cwrm8m9skh439ak7ummday37jeq5gpdv9uf83v8u7ufqag,stake1epu39rf4fyalezafethknlahk7kz8f8txy3s2tlc7c6cspqecjw
20,1159390,111931742,stake19a7v8cwrm8m9skh439ak7ummday37jeq5gpdv9uf83v8u7ufqag,stake19a7v8cwrm8m9skh439ak7ummday37jeq5gpdv9uf83v8u7ufqag
21,57470977,111931742,stake19a7v8cwrm8m9skh439ak7ummday37jeq5gpdv9uf83v8u7ufqag,stake19a7v8cwrm8m9skh439ak7ummday37jeq5gpdv9uf83v8u7ufqag
22,621385819,111382236,stake12ftrc4qshlm2p4pue6ahcdlp7604avnq25jjrt0lxwuuydjkxdx,stake12ftrc4qshlm2p4pue6ahcdlp7604avnq25jjrt0lxwuuydjkxdx
23,1379280,111382236,stake12ftrc4qshlm2p4pue6ahcdlp7604avnq25jjrt0lxwuuydjkxdx,stake12ftrc4qshlm2p4pue6ahcdlp7604avnq25jjrt0lxwuuydjkxdx
24,1772209547,111382236,stake12ftrc4qshlm2p4pue6ahcdlp7604avnq25jjrt0lxwuuydjkxdx,stake1udtewkq3tlrk2fjzfhquacs4sgak0z4znuu3vvc7l6e4knm4f4f
25,138105984196,111382236,stake12ftrc4qshlm2p4pue6ahcdlp7604avnq25jjrt0lxwuuydjkxdx,stake12ftrc4qshlm2p4pue6ahcdlp7604avnq25jjrt0lxwuuydjkxdx
